StateCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
6,474804.3033,473753.8505,472251.0316,470324.4842,467319.459,463858.7533,459429.6643,454811.1408,449620.6165,444173.6035,438698.175,432828.628,426983.9091,420085.3251,411844.5398,402184.6493,391902.2946,381916.9277,371803.8232,362067.8141,353072.9276,345294.613,337753.7368,330518.4801,323755.1207,318829.7977,314750.423,310917.1939,307202.668,303956.4244,301549.0158,299536.9368,297960.8909,297120.7471,297948.4281,299842.8866,301766.9955,302570.8285,303597.8687,304877.0625,306285.5271,306221.0094,305091.3723,303161.7858,301193.0006,299080.7588,297209.7775,295877.1501,294839.465,293845.3103,292380.7825,290821.9399,288479.9479,286594.9959,284953.5991,283163.2516,281026.1299,278744.4077,277617.7539,276883.4691,276504.9573
48,139567.1123,139709.4246,139691.6202,139908.0247,140303.8042,140818.4047,141277.6332,141765.7237,142246.7191,142689.6434,143058.7113,143399.1495,143261.5466,142863.649,142277.7844,141970.3409,141750.0266,141552.4486,141389.0892,141040.9124,140537.1373,139937.9013,139350.0115,138806.3879,138311.7865,138052.0409,137945.4606,137929.0156,137928.8307,137904.8413,137915.6694,137800.2154,137647.8759,137445.6117,137488.0308,137612.121,137672.4068,137658.9152,137683.7557,137857.3743,138057.8756,138103.2142,137858.458,137385.7312,136825.7853,136262.376,135677.8985,135170.2131,134729.0542,134264.9005,133808.7804,133367.4172,133017.8786,132661.6416,132463.9333,132347.6272,132306.0063,132194.4238,131985.8588,131742.2436,131630.6881
12,251767.5054,250726.7732,249530.9405,248150.0298,246351.9004,244104.561,241397.276,238405.1369,235341.8289,232208.7743,228932.8077,225610.4296,222000.9099,218438.4214,214633.714,210928.8606,206948.5561,203077.7217,199119.9775,195005.1917,190820.5257,186587.8357,182426.0424,178446.9416,174704.4493,171378.9778,168252.6967,165139.8567,162128.4295,159263.7912,156812.7065,154554.4413,152486.8729,150737.6828,149571.4304,148685.0929,148002.7911,147408.6369,147003.9038,146650.5259,146192.3467,145501.4292,144543.8894,143348.1477,142042.8275,140677.7215,139295.3018,137977.5778,136660.7851,135412.1413,134136.8762,132903.0565,131670.7845,130556.8977,129530.4092,128722.7881,128115.6857,127767.6503,127589.7469,127508.6548,127536.8153
36,277067.2733,277286.5223,277577.1782,277696.032,277923.835,277958.6635,278014.2439,278091.0996,278096.986,278298.7898,278502.0219,278612.3952,278680.6514,278544.2775,278388.7631,278034.7319,277442.761,276634.7437,275563.9312,274405.7432,273111.2769,271555.6365,269852.6071,268219.6027,266709.1099,265409.2693,264257.0456,263275.804,262373.9159,261394.4904,260379.3945,259283.6493,258360.7334,257646.6139,257190.2528,256884.0752,256660.7752,256642.5923,256719.7542,257106.7396,257520.593,258074.1138,258428.3955,258342.7449,257807.035,256838.8764,255825.8222,254799.316,254075.1902,253519.6725,253177.8575,252718.4487,252225.8834,251491.8344,250773.7121,250072.4009,249432.2705,248794.8836,248101.0469,247514.3234,246998.0832
42,162642.3838,163019.0337,163491.6466,163927.8757,164347.3021,164666.4382,165010.6064,165257.6147,165381.8666,165463.2873,165567.3413,165649.2063,165606.522,165576.5483,165511.4789,165466.2097,165266.0671,164946.6855,164378.6438,163639.2512,162859.1612,162181.9868,161544.5598,160857.4895,160156.7289,159696.2886,159468.8093,159331.802,159093.4917,158766.5925,158409.0176,157988.4852,157591.1201,157320.1717,157265.2373,157350.5398,157593.5381,157932.3314,158403.212,158860.8189,159161.0697,159213.9848,158971.3834,158510.5156,157824.0176,157013.4144,156122.1252,155280.9749,154549.7316,153957.2076,153505.5011,153022.7158,152464.367,151751.5113,151039.7323,150448.6897,150024.7221,149676.8044,149328.6542,148989.5191,148694.7518
17,205251.9657,205751.3331,206150.2805,206336.3549,206356.7133,206237.1373,205965.5755,205620.6561,205072.3067,204461.707,203825.8973,203071.5766,202248.4023,200628.4778,199869.1255,198452.9645,197954.755,196315.1462,195250.8496,193256.6368,191560.9108,189259.7565,187103.9719,184572.1816,181842.4142,179667.2174,177546.5895,176205.684,174616.4633,173348.2769,172103.6107,170975.83,169436.3345,167937.7171,166473.1853,165724.7593,164994.1713,164655.1883,163856.8997,163948.981,163625.8084,163925.7372,162754.5678,161719.4266,160083.9266,158756.5234,156944.7504,155174.123,153581.3491,152330.3421,151423.2015,150345.0134,149524.1644,148479.9088,147840.567,146948.8418,146087.2189,144650.4142,143475.8004,142028.3786,141078.5463
39,127178.4486,127088.3347,126964.2775,126825.255,126662.7919,126515.2219,126318.0307,126085.1185,125905.1105,125695.8401,125353.0063,124919.7797,124454.3808,124005.9499,123639.4904,123322.0891,123065.0134,122772.7295,122488.6784,122148.2931,121742.8462,121213.6212,120681.7284,120049.3927,119320.0106,118521.1121,117798.5869,117289.5975,116930.428,116615.0578,116238.3297,115830.3864,115453.5696,115182.8381,114913.4757,114684.4612,114465.3364,114413.9577,114389.3575,114429.1707,114427.0943,114373.5108,114129.7173,113766.3978,113283.4893,112741.8126,112104.7896,111410.9561,110759.7991,110152.7481,109673.3845,109178.818,108692.3682,108218.7295,107882.0323,107629.9343,107367.347,107051.9783,106718.7148,106423.3383,106078.068
13,164849.1376,165219.6886,165575.1035,165949.268,166269.0794,166485.3753,166587.5635,166625.0995,166515.2028,166300.1777,165902.4901,165492.624,164875.8789,164182.4713,163341.2617,162617.7891,161924.6441,161196.5316,160326.4424,159321.3604,158250.9594,157059.9904,155575.1176,153784.3207,151962.0627,150328.2027,148858.9371,147297.2413,145667.9318,144107.1416,142788.2131,141663.3023,140604.4504,139555.7451,138623.6809,137880.6197,137189.0586,136593.8539,136115.8378,135900.5042,135720.5431,135427.8243,134714.1675,133688.9173,132322.0396,131008.5241,129659.4056,128421.5799,127191.8929,126164.1997,125125.2825,123939.055,122488.3642,121061.4004,119859.5803,119013.3557,118449.1777,118018.2309,117655.4609,117058.518,116551.9934
37,163149.2294,163729.4151,164379.5177,165049.9803,165774.8096,166476.1419,167080.4457,167625.263,168053.7983,168390.7668,168640.3541,168801.6265,168909.4757,168974.0669,169053.3154,169095.2751,169047.5724,168820.1606,168436.7495,167988.7081,167512.3234,167026.6771,166416.9775,165687.1686,164884.0016,164280.2459,163802.2808,163312.3015,162669.1113,161941.4465,161220.2515,160404.2418,159660.1679,159039.8063,158621.4694,158224.5537,157859.2941,157461.4703,157143.6199,156997.4236,156945.4518,156812.4236,156403.3891,155820.2096,155151.5336,154489.2902,153811.2932,153154.429,152474.2972,151832.8341,151173.7648,150464.7425,149771.9959,149139.1585,148584.0436,148020.9368,147522.8631,146958.3105,146396.5416,145855.5133,145436.04
26,142482.8041,141881.6727,141245.6651,140615.1612,139861.1905,139155.0369,138306.3167,137564.6794,136631.4468,135693.2078,134645.4812,133717.7313,132770.2744,131676.5183,130353.0992,128813.0241,127308.9341,125841.6707,124360.0874,122606.4293,120898.2957,119420.3247,118084.3329,116509.5916,114553.9265,112528.7923,110565.7493,108879.0523,107398.6769,106043.9921,104905.7386,103812.8071,102849.8528,101776.4598,100833.3438,99986.1082,99441.00563,98921.44251,98592.04633,98449.12577,98569.87372,98766.21471,98698.09552,98392.21089,97795.57101,97104.04908,96276.75252,95487.496,94673.88947,93988.84853,93381.4913,92816.85972,92309.196,91811.74065,91455.84893,91287.1339,91239.50665,91189.4046,91039.01983,90849.29927,90703.94311
34,363682.0678,362791.2618,362553.6951,362701.4369,362639.4379,361880.9103,360467.6207,358754.9063,357077.7248,355547.5577,354008.9824,352445.7596,351074.5756,349979.4937,348595.5792,346482.5683,343607.8347,340652.0338,337819.9067,335104.6107,332328.0904,329389.2944,326268.0838,323409.9689,321220.3786,319436.7435,317715.3172,315509.4377,313156.7295,310781.5649,308608.9761,306733.2376,305158.4239,304007.3784,303237.8745,302930.4668,302856.1006,302930.82,302871.5358,302769.2665,302500.8782,302040.4691,301223.8137,299966.8353,298260.4306,296253.3461,294286.2211,292475.887,290993.0262,289593.4587,288154.1845,286475.7224,284572.2593,282530.7441,280351.8964,278399.8757,276693.6205,275166.7079,273548.1748,271868.3594,270518.5722
51,260913.3716,260813.4534,260748.7192,260899.6406,260718.6376,260133.0159,259029.6504,257802.7597,256680.5763,255708.9939,254748.4543,253481.7394,252015.0084,250371.1214,248437.1462,246235.6757,243890.6936,241851.4575,239770.5538,237470.6824,235093.4378,233082.733,231417.696,229915.2099,228282.601,226705.3179,225159.9421,223780.3772,222606.8931,221531.7835,220578.5165,219591.1713,218623.3718,217751.4072,217256.107,217165.8768,217456.9193,217801.2085,218167.4972,218561.691,218919.2012,218944.7627,218392.7207,217494.3748,216523.9658,215645.4827,214764.9204,214062.0861,213452.5057,212843.0988,212136.7422,211466.6868,210853.7218,210314.8141,209769.1332,209286.0627,208703.9231,208084.2294,207554.772,207296.2228,207228.1181
