StateCode,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025
35620,2786.07273,2804.070095,2826.617438,2851.465259,2870.38916,2889.708384,2902.30212,2914.16256,2919.306764,2916.98891,2906.251656,2895.038476,2891.046353,2896.491206,2906.194904,2921.584776,2939.021869,2957.333718,2972.90277,2977.719773,2978.518355,2969.210383,2963.34733,2948.830618,2944.702558,2945.500223,2960.014773,2977.860233,2999.94433,3018.561853,3031.65979,3035.005013,3032.448723,3015.505515,2996.048615,2979.47817,2977.339381,2986.13069,3001.992403,3026.616493,3048.864248,3070.435124,3085.370625,3096.859065,3097.427506,3085.837368,3072.639605,3059.834053,3059.850193,3070.11635,3089.460564,3110.662938,3136.011438,3162.759865,3182.036183,3190.778899,3188.523625,3182.579896,3167.732666,3158.589466,3157.677068,3173.778688,3184.952811,3177.574458,3157.03371,3129.106486,3098.659304,0,0,2924.616105,2885.466184,2869.96249,2867.326363,2884.71473,2911.210078,2946.321741,3000.599981,3067.757813,3144.708435,3218.113236,3276.93415,3317.78006,3344.13428,3369.596718,3398.816868,3438.964115,3485.743191,3536.693654,3600.068613,3666.256703,3726.439899,3760.257596,3764.58857,3744.500619,3712.21381,3686.936763,3683.587034,3699.435603,3733.176203,3773.175683,3817.127365,3855.335641,3883.986031,3896.357251,3894.747396,3875.610189,3847.544286,3827.716036,3832.564328,3855.808695,3893.834803,3929.05716,3968.812921,4003.578413,4025.062349,4031.854575,4018.516194,4000.451359,3986.238966,3978.836661,3991.443256
31080,2263.438061,2278.974349,2299.153989,2316.532849,2334.781174,2349.091061,2365.996316,2379.159474,2391.625655,2398.408353,2404.030115,2411.718696,2423.333038,2438.658729,2454.044873,2466.803713,2483.326946,2499.064523,2515.357378,2523.20835,2529.637406,2531.025515,2534.224159,2537.912341,2555.747695,2576.341385,2603.024964,2620.377869,2637.012903,2648.419571,2660.558905,2667.200508,2673.668514,2675.711073,2682.611383,2688.072794,2701.842603,2716.24278,2730.978951,2742.895876,2752.44255,2766.840443,2779.435875,2791.318211,2796.315366,2801.203215,2808.188805,2815.422803,2822.549923,2827.49716,2842.232138,2855.106071,2870.955793,2882.127065,2892.955605,2900.998046,2905.57866,2908.9864,2912.86461,2917.399276,2925.995674,2931.592176,2931.458466,2915.698631,2901.096118,2893.11139,2895.567046,2895.791075,2894.993296,2896.05849,2898.206149,2898.476368,2908.560865,2920.637673,2938.869963,2953.816475,2979.711404,3023.157595,3082.435163,3150.432811,3202.783126,3235.53938,3253.952225,3276.200509,3300.712691,3333.479484,3365.100166,3403.036528,3435.046549,3465.407068,3491.161831,3510.049878,3517.663911,3511.122706,3501.079508,3491.61045,3491.167133,3498.874328,3516.792301,3531.803156,3544.25097,3554.569745,3570.08422,3584.316864,3587.50265,3583.699023,3568.129848,3559.351056,3565.016214,3581.250099,3603.193183,3617.391381,3636.56325,3653.67349,3670.727456,3677.48621,3682.395059,3678.642436,3674.348835,3664.867311,3692.567329
16980,1720.808389,1729.265638,1741.084838,1752.409263,1764.945994,1776.822605,1782.439184,1785.649681,1779.473494,1770.764628,1763.098673,1763.523183,1773.172381,1784.280845,1798.16154,1807.469289,1817.435978,1827.16469,1834.784049,1839.194638,1830.70108,1818.577501,1804.20865,1797.466729,1805.107979,1822.251058,1845.020743,1861.723474,1875.948976,1882.981066,1885.195454,1879.383964,1872.163945,1858.610454,1850.344989,1847.15105,1857.33078,1871.530868,1887.883508,1901.750943,1914.081865,1924.637218,1930.058348,1927.56906,1915.494246,1901.780049,1892.946864,1893.959904,1905.12944,1917.857526,1936.740984,1952.143158,1967.131693,1975.562035,1979.442166,1978.695595,1972.620291,1964.584614,1956.266488,1950.826351,1961.287384,1975.851169,1993.920628,1995.309886,1993.835574,1990.15874,1989.002115,1982.116061,1964.47891,1938.505681,1916.793574,1907.27122,1909.901078,1923.589951,1944.505596,1976.371709,2009.437675,2040.909595,2064.833793,2081.170164,2090.630441,2090.308875,2090.3196,2096.321211,2112.570561,2131.785138,2156.43162,2185.524755,2217.876288,2243.37073,2263.840529,2273.31521,2274.481543,2269.324088,2262.49636,2262.762841,2271.286786,2289.497549,2312.343423,2335.530599,2361.461084,2384.450258,2399.921966,2407.917055,2403.57315,2393.361466,2382.656113,2385.271128,2396.659098,2416.061143,2434.863894,2461.438473,2484.567744,2506.320481,2517.449231,2521.615725,2519.49279,2517.402376,2518.758279,2523.517263,2532.887085
19100,1356.492289,1362.649114,1372.507476,1387.307643,1399.505791,1409.853588,1417.74911,1422.352279,1424.070758,1423.974091,1424.99077,1427.117229,1429.201029,1436.132156,1445.687065,1459.30515,1469.903734,1479.642461,1485.732606,1490.086569,1490.794659,1491.279299,1491.174313,1491.702851,1497.687025,1505.149989,1520.869805,1532.762933,1548.099405,1555.937216,1561.99372,1563.71612,1562.343205,1559.693076,1561.453889,1562.635314,1568.470819,1575.674224,1584.555089,1593.996955,1600.228099,1610.446888,1615.340866,1617.917995,1614.551051,1616.879511,1617.991765,1621.14604,1624.144701,1629.889564,1643.977723,1655.874486,1667.208996,1675.577085,1679.683598,1682.405529,1680.983004,1679.87592,1677.262773,1672.795783,1675.797123,1683.131618,1693.887276,1694.552555,1693.874781,1694.997515,1700.613749,1705.492995,1708.194354,1711.655965,1713.539525,1717.547868,1724.819435,1737.855471,1752.249453,1775.63011,1806.36225,1848.270884,1891.448193,1931.17841,1960.324753,1978.02477,1993.179541,2005.477654,2019.843958,2034.21794,2050.683689,2074.7677,2102.984824,2139.315424,2165.547703,2175.376175,2169.028276,2152.054505,2139.354056,2128.599313,2128.625136,2132.06056,2146.730828,2152.390748,2162.631173,2166.882203,2177.216001,2178.653323,2172.676186,2162.611313,2153.239964,2143.260449,2139.319711,2137.743753,2145.285069,2152.864596,2163.859754,2171.829033,2179.464496,2182.629544,2178.262318,2169.284711,2159.085895,2150.710934,2148.867678
26420,1519.809844,1524.488908,1533.004755,1545.490705,1557.300688,1567.498413,1570.142313,1571.879513,1568.801465,1564.418439,1559.487591,1555.954473,1557.021246,1560.111538,1567.85424,1573.121636,1576.701306,1577.807356,1577.419519,1574.183049,1567.615198,1562.909506,1556.454889,1553.60748,1554.577881,1564.470426,1574.849493,1581.1774,1590.245845,1592.524398,1593.327643,1587.137893,1595.889718,1605.818386,1619.574701,1626.205559,1630.46709,1637.314539,1639.365701,1647.84363,1651.315103,1658.014343,1657.996645,1656.157421,1651.283456,1651.870595,1654.671788,1654.752175,1655.695338,1654.351291,1663.087228,1669.351169,1680.532636,1687.855125,1692.428294,1691.498011,1687.721835,1686.737799,1686.639625,1690.611871,1694.038605,1702.188971,1708.815219,1705.518065,1696.887575,1690.546781,1695.472998,1701.903996,1702.727205,1705.701993,1707.846174,1709.18898,1711.485475,1712.763226,1722.790866,1738.676223,1765.521223,1800.037541,1831.911909,1861.525111,1878.223241,1887.674976,1892.652915,1898.131813,1906.615508,1919.225735,1932.245135,1948.7388,1963.669058,1983.022528,1997.939881,2005.912786,2002.899284,1995.652151,1987.551286,1985.261965,1989.894974,1999.772728,2014.98722,2023.08766,2035.650125,2044.843434,2053.162574,2054.222278,2048.317993,2040.756693,2033.241958,2030.997058,2035.720151,2044.155216,2051.780113,2063.041443,2075.684008,2088.617643,2095.216133,2098.041565,2098.752986,2096.732175,2090.765299,2084.88883,2083.310241
47900,2119.258503,2127.170768,2141.635844,2152.287186,2164.238619,2172.93043,2178.23525,2175.056043,2174.408258,2168.13713,2167.799449,2161.93859,2166.673764,2170.573494,2180.797436,2189.978268,2201.638116,2209.953828,2215.071924,2216.039659,2211.698994,2204.713018,2198.191521,2194.655069,2201.237656,2215.260806,2232.08371,2245.546348,2253.650038,2262.812,2266.82968,2266.356218,2263.178423,2257.02644,2249.829934,2245.068046,2248.264576,2256.856639,2272.170578,2286.958149,2300.982279,2311.775413,2318.911579,2324.385623,2318.341391,2315.283758,2315.957594,2322.162756,2327.267648,2334.378518,2345.937684,2360.164471,2374.139143,2385.950715,2392.529394,2394.115245,2393.594816,2386.186238,2378.692021,2379.13854,2389.976995,2401.354505,2413.373996,2412.246836,2409.234663,2401.041293,2398.94736,2393.472879,2376.456701,2354.877613,2329.889604,2316.524026,2318.709484,2329.225024,2342.386845,2360.806285,2395.358718,2442.345239,2489.686501,2528.270378,2551.822334,2563.951286,2564.807894,2565.33179,2567.647735,2582.0202,2604.940191,2634.411516,2666.098269,2697.88793,2728.31727,2742.922476,2743.158225,2722.88516,2701.743135,2686.060763,2688.558825,2704.459271,2733.206465,2753.771969,2775.98968,2790.426639,2810.743719,2823.116186,2826.920121,2821.96465,2812.347969,2802.929863,2808.736488,2828.450061,2857.967183,2883.433714,2907.011101,2931.256091,2951.230369,2960.835676,2959.90939,2947.113571,2938.413203,2929.171593,2943.461126
37980,1527.07709,1535.430581,1551.250048,1559.737928,1567.127434,1570.737993,1573.511311,1574.411589,1574.1351,1573.25822,1568.399553,1563.556475,1564.856093,1575.428781,1587.793989,1598.960025,1606.681369,1615.341816,1616.641094,1616.306005,1612.414065,1610.306774,1612.877105,1612.949956,1618.886423,1626.069166,1640.734855,1651.541844,1659.072355,1660.621571,1660.885195,1660.736521,1660.046349,1659.289155,1657.981278,1661.625356,1666.109405,1675.874326,1689.028345,1701.586168,1712.624255,1717.387516,1718.354136,1716.958943,1714.841006,1717.043028,1721.462293,1722.311798,1728.022136,1736.586884,1754.015476,1767.591449,1776.397791,1785.268809,1789.342039,1789.206005,1784.508304,1783.444599,1783.70495,1787.972448,1792.32337,1806.346806,1818.864728,1824.321523,1824.40175,1825.396241,1832.47052,1832.815174,1831.754638,1830.543133,1832.459231,1836.991758,1842.950484,1851.670978,1862.041028,1881.286805,1908.458323,1935.359179,1959.929541,1981.30779,1992.382026,2004.321786,2014.411093,2035.967389,2048.507925,2063.191984,2075.714581,2093.557144,2111.347471,2130.489578,2147.149581,2155.586494,2156.462036,2150.841818,2147.993256,2144.087101,2148.737445,2151.755019,2166.172979,2177.323546,2191.909249,2198.084848,2208.704813,2216.711796,2227.754879,2231.508103,2232.625781,2229.108423,2230.746253,2240.135704,2252.382026,2263.872499,2273.641929,2285.003665,2296.305084,2305.849781,2312.053529,2317.091271,2319.655186,2325.140478,2330.78292
33100,1837.944706,1845.656356,1851.864596,1860.21891,1870.928596,1882.176213,1893.65284,1902.821538,1916.698649,1926.285985,1938.17704,1941.941414,1946.684123,1948.57573,1952.47109,1953.617768,1953.023459,1952.35318,1955.324489,1958.832509,1965.572558,1969.154094,1974.259705,1973.976221,1979.89865,1984.078409,1993.545351,1996.797666,1999.804853,2003.183733,2009.826608,2019.024638,2027.827628,2034.450333,2036.418615,2037.177828,2039.845273,2043.686449,2048.824258,2053.739589,2059.195663,2065.562138,2073.038798,2081.262968,2087.449759,2095.779628,2104.216781,2110.944224,2110.42199,2108.653035,2110.046348,2114.60919,2120.726493,2126.126889,2132.533924,2138.752199,2146.497288,2157.315275,2169.161138,2177.989186,2180.940735,2185.398431,2185.539594,2177.923363,2165.926741,2164.523989,2171.512376,2178.492756,2185.495759,2202.019815,2224.973544,2244.851603,2263.602075,2291.96028,2327.359181,2369.754261,2418.852709,0,0,2644.769051,2718.276014,2773.4393,2829.345293,2887.389618,2940.543158,2983.153529,3029.408021,3080.013594,3128.653138,3162.543961,3187.649935,3198.811669,3208.816288,3212.30884,3221.305853,3226.686256,3227.760476,3230.303585,3237.102449,3246.309695,3256.081001,3263.813938,3271.017346,3277.239169,3283.250746,3293.322621,3298.945263,3293.0767,3291.050248,3298.99191,3316.04288,3330.464768,3335.478404,3340.702415,3347.860894,3355.285155,3363.894001,3364.578324,3366.621791,3363.896454,3367.050369
12060,1284.400821,1291.225134,1295.209973,1307.855315,1317.600545,1332.154606,1340.058354,1344.480734,1345.259539,1346.02959,1347.082165,1351.491506,1356.54521,1365.626104,1374.890661,1384.094825,1394.910698,1405.968144,1417.015771,1422.18517,1422.860425,1423.104431,1423.625495,1426.108993,1431.447681,1441.72695,1456.282598,1471.269188,1486.788535,1499.853228,1510.756564,1515.617396,1518.723184,1515.464418,1517.62555,1519.178871,1528.190253,1538.151609,1552.43997,1567.713469,1581.506791,1592.478603,1599.340163,1603.055895,1603.652865,1610.909618,1617.210326,1623.677526,1630.201441,1640.108703,1655.761663,1669.333469,1682.074576,1693.070819,1699.411809,1704.557875,1707.137826,1706.119871,1703.159209,1702.842738,1709.280488,1719.77931,1730.31208,1733.993489,1738.381776,1747.571418,1766.765293,1783.744978,1795.542356,1803.734271,1810.937724,1819.040968,1834.079883,1855.067983,1879.208278,1907.853624,1943.939043,1992.809276,2046.409463,2100.563165,2139.995825,2164.0129,2173.021633,2176.487494,2180.345114,2188.505683,2204.402511,2222.049146,2246.186578,2272.304955,2302.204473,2317.857494,2321.074821,2308.626876,2295.566335,2289.327401,2286.983365,2294.087006,2307.720231,2318.459798,2326.043926,2326.287806,2332.085408,2332.314781,2329.165209,2315.671309,2299.536279,2288.32896,2293.308745,2308.514154,2318.62745,2327.600023,2336.354288,2347.080279,2354.111791,2352.432711,2356.330561,2349.711321,2343.359203,2333.408715,2338.589994
14460,2543.187351,2571.775468,2603.581694,2626.510055,2646.770033,2663.112459,2665.481545,2658.955518,2642.338934,2627.639745,2622.884205,2628.426538,2651.705416,2687.814675,2711.281833,2728.344126,2739.716109,2760.376681,2768.734926,2766.858308,2750.984599,2731.134108,2711.710198,2711.685014,2745.507499,2788.158003,2827.021393,2843.755011,2853.639649,2862.829361,2866.596919,2857.804048,2835.478251,2807.844654,2804.087453,2822.932626,2858.04136,2887.630515,2912.489948,2932.001901,2950.971208,2960.652335,2965.429946,2952.448256,2930.657781,2910.291148,2902.657875,2916.936188,2943.793498,2977.263763,3003.88242,3022.950478,3040.828723,3056.27613,3066.222329,3057.298918,3041.073796,3017.87844,3011.054349,3022.273578,3050.790786,3084.674519,3112.30806,3110.315865,3096.345588,3072.422209,3049.942625,0,0,2864.728788,2833.874893,2834.747039,2860.123533,2900.123593,2940.691073,2978.301423,3024.595761,3075.739531,3124.480816,3151.663433,3175.325763,3193.798629,3214.915115,3226.614481,3242.328715,3253.12062,3280.389925,3319.363943,3375.052818,3427.768606,3469.935988,3494.780589,3508.542659,3505.018425,3501.382349,3492.056554,3496.729134,3518.471255,3556.4609,3600.209804,3638.228355,3667.815744,3687.382226,3691.644603,3690.800514,3681.105413,3686.789031,3690.077148,3708.385434,3729.558553,3759.438391,3788.264945,3815.585924,3835.652814,3844.12573,3824.355639,3805.334188,3787.838233,3800.700054,3814.52976,3847.113393
38060,1161.440558,1179.551817,1188.940077,1205.489858,1206.660846,1216.592002,1216.140269,1218.11982,1221.623449,1225.592925,1229.61125,1231.500103,1237.813001,1244.993031,1254.274188,1263.218785,1272.484909,1281.029534,1286.378879,1289.07643,1290.752595,1290.238161,1292.089353,1293.288528,1301.844166,1312.230946,1327.255636,1339.176301,1351.338533,1359.063036,1365.900038,1368.58506,1372.21058,1374.425444,1378.441431,1380.605299,1386.395506,1393.819911,1409.43477,1426.677584,1441.302021,1452.073468,1460.458664,1468.132719,1475.167511,1479.67033,1485.596556,1492.231195,1497.840118,1508.763484,1521.824255,1541.177395,1556.55446,1569.451134,1579.30997,1588.307394,1594.523823,1599.303693,1605.373896,1615.639389,1627.913523,1641.52341,1648.810928,1648.516774,1647.496698,1652.442528,1669.704759,1690.164134,1710.301769,1728.36501,1745.015075,1758.703859,1773.862254,1790.180969,1817.331993,1853.284664,1903.617408,1961.76073,2022.899934,2075.644536,2115.332135,2142.686594,2159.488455,2171.290153,2182.415236,2195.829814,2213.808803,2228.828035,2240.471649,2249.20065,2256.2455,2257.592713,2247.79869,2233.9025,2221.116145,2213.999754,2209.911833,2215.743639,2234.45091,2246.211071,2253.621619,2251.298341,2256.128906,2255.292448,2251.015981,2241.597768,2230.714893,2221.975944,2222.710954,2233.31543,2248.18925,2262.247193,2271.504034,2273.10806,2274.297225,2273.705991,2272.986393,2261.266541,2249.011178,2239.536193,2242.104284
41860,2798.26496,2810.479536,2851.345676,2894.975313,2937.387585,2977.615241,3011.987153,3039.902363,3062.007575,3064.638103,3065.126278,3060.678581,3076.280009,3095.466188,3103.677446,3128.824626,3145.438401,3173.992255,3182.241264,3186.204539,3177.119935,3154.418371,3140.101996,3126.305645,3139.643318,3162.783519,3194.028869,3212.512794,3232.334203,3259.468948,3276.481346,3288.005388,3289.87793,3287.209596,3274.179594,3271.5595,3279.327696,3300.461214,3313.50921,3331.344229,3349.502556,3372.855796,3392.00578,3404.96734,3404.724945,3399.521789,3391.604188,3389.973508,3396.685246,3406.543738,3425.650438,3438.281186,3458.612461,3473.747536,3495.977845,3503.389418,3501.354729,3488.042213,3479.421138,3480.149504,3490.093845,3498.698425,3504.998006,3496.80233,3485.289558,3462.533569,3436.806036,0,0,3257.457008,3213.674001,3192.851266,3183.906344,3200.288128,3227.422743,3258.890235,3300.066019,3351.708614,3411.09852,3455.071648,3471.809278,3469.267043,3461.74274,3465.097468,3483.020474,3512.374529,3546.03535,3574.801848,3605.52016,3632.674533,3658.988635,3671.162286,3666.745018,3646.379679,3618.794074,3596.578276,3586.320895,3597.060739,3626.692063,3641.456459,3656.068276,3655.068289,3666.981411,3668.031816,3656.550706,3636.466769,3604.936448,3587.827854,3593.251175,3614.432909,3645.886868,3672.125023,3697.604251,3715.386336,3730.725993,3740.290924,3739.930196,3727.472335,3724.212694,3719.418678,3735.457404
40140,1666.168646,1668.933003,1675.13473,1685.199588,1694.978886,1706.820086,1716.598868,1725.434498,1734.197278,1740.956694,1744.336636,1747.971664,1751.24107,1762.793931,1770.139923,1776.382544,1783.626069,1790.254915,1801.531464,1808.339161,1820.30132,1823.448873,1828.351583,1827.935314,1840.415989,1853.724216,1869.17606,1886.569986,1897.463299,1913.512774,1922.554014,1936.178339,1940.480529,1947.188245,1952.628715,1958.390768,1963.96964,1975.581521,1991.172965,2003.364949,2012.296088,2024.982103,2037.560809,2051.264586,2058.685673,2065.878321,2070.762296,2076.18787,2083.517195,2089.553536,2100.653699,2111.593503,2124.06413,2133.780636,2145.795003,2156.961859,2164.163528,2169.249993,2170.69295,2174.99498,2180.739353,2191.123436,2198.095586,2194.476084,2193.19385,2208.153378,2238.15199,2277.838401,2312.463939,2345.115304,2368.439618,2390.777238,2411.644703,2441.292739,2476.302801,2508.092206,2554.177009,2600.478399,2668.066059,2721.607084,2767.190201,2781.727243,2794.443555,2802.43721,2827.771878,2854.294913,2891.196583,2934.680811,2957.904621,2980.101163,2989.717895,2999.588554,3003.643511,2989.948879,2982.518993,2975.1668,2980.360213,2988.844871,3005.88811,3021.631079,3036.271023,3039.034604,3043.899876,3050.936723,3054.708248,3064.969685,3062.962195,3057.452198,3052.812086,3064.593925,3087.43563,3106.070555,3121.696426,3130.475648,3144.868548,3153.177431,3169.178635,3171.397649,3168.877685,3169.874823,3184.607104
19820,1066.305509,1071.441198,1079.333923,1088.663297,1096.066309,1102.241525,1107.652494,1110.604295,1111.803561,1109.743997,1109.798634,1107.797319,1110.565301,1113.105114,1117.983076,1124.4685,1130.70914,1137.735072,1143.856846,1149.158831,1148.815475,1149.746132,1147.035606,1147.508575,1146.760495,1153.113972,1163.030371,1177.113508,1188.802994,1198.597844,1202.584738,1205.212647,1206.746328,1205.857725,1204.551443,1205.554904,1207.875766,1212.698901,1221.139732,1230.36793,1241.856476,1248.539595,1253.449609,1255.408801,1259.804168,1258.392091,1255.55737,1251.109931,1258.145463,1266.968749,1277.848929,1287.356543,1299.857446,1307.9272,1311.902053,1312.582651,1309.427346,1308.854941,1307.512751,1309.477913,1309.253569,1311.689655,1321.016143,1329.96866,1337.515513,1345.624913,1361.573944,1376.608275,1386.801139,1392.322515,1395.274718,1403.631748,1411.419846,1423.807469,1435.007401,1453.343969,1475.143479,1497.630975,1517.999196,1539.875871,1551.935744,1559.985356,1561.881919,1572.91455,1580.74204,1591.292924,1598.192706,1617.060188,1635.995448,1659.604828,1672.29182,1677.12358,1677.835618,1668.951078,1665.609123,1660.298423,1664.444969,1666.854771,1671.831049,1679.942159,1689.502333,1699.023935,1706.983005,1713.330899,1718.143583,1717.111315,1721.589741,1722.108728,1728.378335,1731.636665,1745.550985,1758.553989,1777.640791,1788.388989,1800.748475,1807.911589,1810.963264,1811.818943,1807.497636,1808.963255,1811.372181
42660,1702.845945,1713.249908,1732.243458,1743.470786,1763.825623,1780.33537,1803.427508,1814.914568,1820.824888,1821.02741,1809.269388,1810.062983,1818.06053,1843.211765,1856.141651,1876.860158,1904.136989,1933.954368,1954.61831,1957.767724,1955.99135,1950.236091,1942.004285,1939.875686,1950.180194,1974.879809,2007.325258,2033.393528,2060.958163,2083.903641,2098.967851,2104.298323,2098.692324,2087.91449,2070.226204,2061.635635,2066.9116,2082.15885,2100.513678,2119.589451,2141.646658,2160.673088,2170.781181,2170.67449,2161.950471,2148.804265,2142.84811,2143.511001,2151.787295,2165.813696,2182.996331,2205.471973,2223.547134,2242.57971,2255.320143,2262.636885,2257.293289,2247.121943,2238.897375,2243.496104,2258.778759,2277.528705,2300.09779,2299.612664,2295.049209,2283.088979,2286.385338,2282.682425,2262.61764,2228.441729,2190.480418,2162.416885,2162.915548,2178.335813,2212.371246,2248.95574,2299.352515,2356.3579,2415.455028,2466.130125,2497.038538,2503.19557,2496.934501,2492.14523,2498.477059,2520.289401,2550.329115,2585.253656,2623.992599,2665.579291,2699.889055,2709.707034,2697.754895,2669.460505,2635.956888,2611.567454,2603.645755,2616.241726,2640.59294,2657.656743,2677.230855,2691.270515,2708.2071,2716.939794,2712.027205,2697.602021,2676.829196,2668.377221,2676.533664,2696.700108,2722.422719,2747.792054,2774.628385,2794.433569,2810.021491,2811.308966,2806.904001,2792.062316,2781.509266,2773.384193,2780.331526
33460,1408.040423,1416.008215,1426.898264,1437.994988,1450.622473,1458.785726,1465.377654,1465.799461,1464.308063,1455.509259,1456.205363,1458.37044,1463.134405,1466.575678,1474.679535,1492.433056,1506.909839,1519.089454,1521.567118,1525.483859,1524.830448,1525.967238,1525.515289,1523.091641,1530.25217,1543.418408,1561.518403,1573.494436,1582.203936,1592.242294,1599.705799,1603.757824,1601.87108,1597.749235,1594.345551,1601.762724,1614.468649,1628.64245,1644.582794,1651.350461,1657.454971,1655.906929,1663.920834,1667.905574,1667.746705,1664.810748,1668.076585,1674.7207,1684.566514,1691.288344,1711.127416,1723.577639,1738.727339,1741.203125,1743.845113,1742.556525,1739.145784,1737.23891,1738.278456,1742.861089,1753.699174,1765.999449,1773.434309,1775.250166,1772.957728,1773.963931,1776.208636,1780.51637,1775.81831,1770.759651,1759.78213,1755.020379,1756.559484,1762.50083,1777.256786,1791.593265,1812.048396,1829.110171,1842.947853,1852.138698,1856.352315,1855.7622,1853.323718,1854.952294,1864.412394,1878.491196,1894.116753,1907.693419,1922.913133,1933.716718,1941.827249,1941.698219,1938.350308,1930.778068,1923.781686,1921.669059,1928.02272,1941.20632,1955.983343,1965.662026,1973.818768,1979.778578,1985.090253,1985.710703,1980.774758,1977.406884,1973.187518,1973.800451,1979.86564,1994.211511,2010.152466,2023.658275,2032.580683,2039.676964,2044.453224,2050.200925,2051.667816,2045.20346,2036.969934,2035.942044,2045.937936
41740,2100.480931,2114.548048,2126.52046,2130.616554,2145.223916,2155.384695,2176.321693,2189.472471,2200.0839,2205.594991,2203.856475,2212.819329,2219.39708,2231.124538,2242.786743,2255.678876,2272.952391,2291.475726,2307.050081,2315.970213,2319.98952,2322.220024,2323.455351,2326.732305,2335.433873,2356.118083,2379.207658,2401.968539,2421.840536,2436.936941,2452.648566,2459.148979,2463.282811,2462.918713,2462.44195,2465.12811,2478.621404,2494.760911,2513.539636,2527.146364,2547.50637,2561.160556,2574.826288,2583.929859,2590.50642,2590.72444,2585.064385,2588.37084,2594.513123,2603.93855,2611.938244,2624.379361,2639.869275,2654.755858,2670.097689,2680.109683,2683.417969,2683.171094,2684.407626,2689.419409,2696.00225,2702.641944,2707.634609,2696.822785,2688.210638,2686.589303,2700.83341,2712.223798,2727.142213,2747.655936,2766.436055,2779.450709,2788.211035,2801.777741,2824.473999,2859.904304,2906.715363,2955.02068,3017.912886,3084.709991,3154.81957,3197.829589,3226.142909,3246.247031,3270.610146,3305.408188,3343.392473,3399.296925,3454.574205,3514.524945,3556.329553,3592.522176,3599.713823,3592.039346,3565.953836,3552.900133,3544.974259,3556.484424,3588.292561,3627.581921,3670.743866,3699.254161,3721.978036,3731.134611,3727.437779,3708.691246,3679.420943,3654.995769,3646.617471,3659.848603,3684.11617,3716.446311,3742.251076,3767.484164,3782.392505,3785.269501,3781.399541,3775.53339,3771.818221,3761.891769,3762.261103
45300,1325.505576,1329.232673,1334.738898,1344.606936,1355.143121,1364.569319,1371.578596,1375.395001,1378.208163,1382.984558,1389.943134,1397.067308,1401.567634,1406.968725,1411.075995,1419.238679,1424.78013,1433.991639,1436.788421,1441.319405,1445.833279,1452.373605,1457.536969,1459.409921,1465.823548,1472.34292,1483.89995,1494.805321,1506.223224,1514.829735,1518.579448,1519.330584,1520.11162,1523.123946,1529.06626,1536.443596,1544.366955,1552.541709,1561.04961,1572.621863,1583.309509,1594.526233,1600.878914,1606.289414,1603.999278,1605.970233,1612.680224,1617.693676,1622.709686,1625.588459,1636.651016,1648.375761,1659.266204,1668.448075,1674.150646,1680.170925,1683.231913,1685.582724,1685.056521,1689.706751,1695.067579,1702.510964,1713.447,1715.870281,1716.834088,1718.762395,1735.665003,1755.802395,1771.230973,1782.783844,1793.549129,1807.051776,1820.026049,1838.240134,1857.115048,1891.109831,1938.751836,0,2070.656938,2140.495808,2194.119994,2231.794776,2250.921151,2276.712256,2295.988184,2318.16227,2339.194654,2370.344916,2404.014023,2435.68342,2459.661649,2467.620988,2462.123011,2453.477678,2451.857674,2453.014109,2457.897459,2461.615061,2477.777169,2489.426556,2501.131176,2502.911904,2512.856945,2525.10626,2526.344766,2523.462159,2516.555535,2515.071824,2515.358845,2519.445573,2529.04393,2536.463523,2539.251091,2543.354556,2552.833448,2561.066321,2563.264738,2569.010699,2578.565034,2596.426395,2606.544446
